row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,supported,rollover_or_new
1,Q1 2024/25,2024/03/18,Public Protector South Africa,Renewal of annual licence fee,Sage South Afirca (Pty) Ltd,"R 1 69 866,50",Sole Supplier,2024/03/04,Once-off,Once-off,Reported,,
2,Q1 2024/25,2024/03/18,Public Protector South Africa,Leasing and monitoring of the video-fide alarm system with arm respose,Fidelity ADT &Technical (pty)Ltd,"R 264 764,77",Contract expansion due to none responsive bid,2024/02/28,2024/03/01,2024/07/31,Reported,,
3,Q1 2024/25,2024/03/18,Public Protector South Africa,"Procurement of airtime from community radio station in KwaZulu-Natal
Province",Indonsakusa Community Radio t/a Icora FM,"R 4 950,00",Limited bidding,2024/03/06,Not stated,Not stated,Reported,,
4,Q1 2024/25,2024/03/18,Public Protector South Africa,"Procurement of airtime from community radio station in KwaZulu-Natal
Province",Radio Khwezi,"R 8 633,05",Limited bidding,2024/03/06,Not stated,Not stated,Reported,,
5,Q1 2024/25,2024/03/18,Public Protector South Africa,"Procurement of airtime from community radio station in KwaZulu-Natal
Province",Pongola FM,"R 6 800,00",Limited bidding,2024/03/06,Not stated,Not stated,Reported,,
6,Q1 2024/25,2024/03/18,Public Protector South Africa,"Procurement of airtime from community radio station in KwaZulu-Natal
Province",Good News Community Radio,"R 6 500,00",Limited bidding,2024/03/06,Not stated,Not stated,Reported,,
7,Q1 2024/25,2024/03/18,Public Protector South Africa,"Procurement of airtime from community radio station in KwaZulu-Natal
Province",Nongoma FM,"R 5 450,00",Limited bidding,2024/03/06,Not stated,Not stated,Reported,,
8,Q1 2024/25,2024/03/18,Public Protector South Africa,"Procurement of airtime from community radio station in KwaZulu-Natal
Province",Nqubeko Community Radio,"R 8 000,00",Limited bidding,2024/03/06,Not stated,Not stated,Reported,,
9,Q1 2024/25,2024/03/26,National Home Builders Registration Council (NHBRCI)nstrum,"entation for diagnosis, repair and maintenance work on Specimen Grinding",Machine Moisson Intrumentation,"R 1 1 309,10",Impractical impossible,2024/03/26,2024/03/26,Not stated,Reported,,
10,Q1 2024/25,2024/04/02,National Home Builders Registration Council (NHBRC),Dolomite Evaluation - Back to Basics (SAIEG Three-day Seminar),SAIEG,"R 2 1 600,00",Impossible or impractical to follow procurement processes,2024/04/02,Not stated,Not stated,,,
11,Q1 2024/25,2024/04/04,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Mahlathato,"R 1 08 695,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpectedsituationthatposesanimmediaterisktohealth,life,propertyor
environment.",2024/03/25,Once-off,Once-off,Reported,,
12,Q1 2024/25,2024/04/04,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Imvusa Trading,"R 5 8 695,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpectedsituationthatposesanimmediaterisktohealth,life,propertyor
environment.",2024/03/25,Once-off,Once-off,Reported,,
13,Q1 2024/25,2024/04/04,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Mahlathato,"R 6 0 030,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpectedsituationthatposesanimmediaterisktohealth,life,propertyor
environment.",2024/03/25,Once-off,Once-off,Reported,,
14,Q1 2024/25,2024/04/04,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Msakazana Event,"R 7 6 795,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpectedsituationthatposesanimmediaterisktohealth,life,propertyor
environment.",2024/03/25,Once-off,Once-off,Reported,,
15,Q1 2024/25,2024/04/04,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",World Focus 1186,"R 7 8 130,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpectedsituationthatposesanimmediaterisktohealth,life,propertyor
environment.",2024/03/25,Once-off,Once-off,Reported,,
16,Q1 2024/25,2024/04/04,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Nkwali operations,"R 1 16 350,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpectedsituationthatposesanimmediaterisktohealth,life,propertyor
environment.",2024/03/25,Once-off,Once-off,Reported,,
17,Q1 2024/25,2024/04/04,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",JUJUL,"R 1 20 355,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpectedsituationthatposesanimmediaterisktohealth,life,propertyor
environment.",2024/03/25,Once-off,Once-off,Reported,,
18,Q1 2024/25,2024/04/04,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Hlathi Service,"R 1 14 095,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpectedsituationthatposesanimmediaterisktohealth,life,propertyor
environment.",2024/03/25,Once-off,Once-off,Reported,,
19,Q1 2024/25,2024/04/04,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Word sister Primary,"R 1 14 095,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpectedsituationthatposesanimmediaterisktohealth,life,propertyor
environment.",2024/03/25,Once-off,Once-off,Reported,,
20,Q1 2024/25,2024/04/04,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Elethu Constuction &cleaning,"R 4 8 665,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpectedsituationthatposesanimmediaterisktohealth,life,propertyor
environment.",2024/03/25,Once-off,Once-off,Reported,,
21,Q1 2024/25,2024/04/04,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Junchico Trading,"R 3 9 585,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpectedsituationthatposesanimmediaterisktohealth,life,propertyor
environment.",2024/03/25,Once-off,Once-off,Reported,,
22,Q1 2024/25,2024/04/04,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Nikilitha Catering,"R 7 8 175,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpectedsituationthatposesanimmediaterisktohealth,life,propertyor
environment.",2024/03/25,Once-off,Once-off,Reported,,
23,Q1 2024/25,2024/04/04,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",ARMCO Trading,"R 5 3 175,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpectedsituationthatposesanimmediaterisktohealth,life,propertyor
environment.",2024/03/25,Once-off,Once-off,Reported,,
24,Q1 2024/25,2024/04/04,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Sqalo Holdings,"R 3 1 365,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpectedsituationthatposesanimmediaterisktohealth,life,propertyor
environment.",2024/03/25,Once-off,Once-off,Reported,,
